City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
333,Znamenskoye,RU,57.1281,73.8282,25.27,94,100,4.12,light snow,2021-10-30 22:52:31
334,Lompoc,US,34.6391,-120.4579,75.69,80,1,17.27,clear sky,2021-10-30 22:52:31
335,Claveria,PH,18.6074,121.0832,78.04,78,59,11.01,broken clouds,2021-10-30 22:52:32
336,Ilulissat,GL,69.2167,-51.1,31.68,91,100,10.76,light snow,2021-10-30 22:52:32
337,Biskamzha,RU,53.4497,89.5272,27.93,95,98,6.91,overcast clouds,2021-10-30 22:52:33
338,Hasanabad,IR,36.5465,61.0543,55.13,39,91,9.95,overcast clouds,2021-10-30 22:52:33
339,Payo,ID,-3.7508,103.6372,72.41,96,100,1.19,overcast clouds,2021-10-30 22:52:34
340,Grand Gaube,MU,-20.0064,57.6608,70.38,85,4,6.96,clear sky,2021-10-30 22:52:34
341,Yar-Sale,RU,66.8333,70.8333,7.77,90,95,16.44,overcast clouds,2021-10-30 22:52:35
342,Lorengau,PG,-2.0226,147.2712,83.19,79,93,7.85,overcast clouds,2021-10-30 22:52:36
343,Mount Gambier,AU,-37.8333,140.7667,51.71,82,40,11.5,scattered clouds,2021-10-30 22:52:36
344,Kovur,IN,14.4833,79.9833,79.07,85,100,5.84,overcast clouds,2021-10-30 22:52:37
345,Manggar,ID,-2.8833,108.2667,81.82,74,91,1.39,overcast clouds,2021-10-30 22:52:38
346,Aklavik,CA,68.2191,-135.0107,20.12,93,40,4.61,scattered clouds,2021-10-30 22:52:38
347,Jardim,BR,-21.4803,-56.1381,72.21,89,88,2.91,overcast clouds,2021-10-30 22:52:39
348,Great Falls,US,47.5002,-111.3008,33.19,77,90,0.0,overcast clouds,2021-10-30 22:52:39
349,Roma,US,43.2128,-75.4557,55.83,89,90,9.22,overcast clouds,2021-10-30 22:52:40
350,Upala,CR,10.8979,-85.0145,77.4,91,100,0.87,overcast clouds,2021-10-30 22:52:40
351,Doha,QA,25.2867,51.5333,79.11,78,0,4.61,clear sky,2021-10-30 22:52:41
352,Saint George,US,37.1041,-113.5841,79.63,30,1,1.01,clear sky,2021-10-30 22:52:41
353,Huarmey,PE,-10.0681,-78.1522,65.25,81,58,8.66,broken clouds,2021-10-30 22:52:42
354,Pochutla,MX,15.7432,-96.4661,81.14,76,50,3.96,scattered clouds,2021-10-30 22:52:42
355,Camargo,MX,27.6667,-105.1667,82.96,13,0,4.18,clear sky,2021-10-30 22:52:43
356,Cruzeiro Do Sul,BR,-29.5128,-51.9853,77.5,76,98,2.33,overcast clouds,2021-10-30 22:52:43
357,Husavik,IS,66.0449,-17.3389,39.11,89,100,17.94,overcast clouds,2021-10-30 22:52:44
358,Atherton,GB,53.5237,-2.4935,47.91,88,33,1.99,scattered clouds,2021-10-30 22:52:44
359,Souillac,MU,-20.5167,57.5167,70.36,94,20,3.44,few clouds,2021-10-30 22:52:45
360,Waddan,LY,29.1614,16.139,69.4,33,97,5.12,overcast clouds,2021-10-30 22:52:46
361,Lavagna,IT,44.3079,9.3422,59.23,84,100,5.01,overcast clouds,2021-10-30 22:52:46
362,Jambi,ID,-1.6,103.6167,73.87,98,80,0.83,broken clouds,2021-10-30 22:52:47
363,Susanville,US,40.4163,-120.653,64.24,50,75,5.75,broken clouds,2021-10-30 22:52:47
364,Lavrentiya,RU,65.5833,-171.0,13.84,80,28,6.53,scattered clouds,2021-10-30 22:52:48
365,Eenhana,NA,-17.4667,16.3333,78.55,26,69,8.32,broken clouds,2021-10-30 22:52:49
366,Sao Joaquim,BR,-28.2939,-49.9317,54.59,95,97,4.52,overcast clouds,2021-10-30 22:52:49
367,Gunjur,GM,13.2019,-16.7339,75.27,100,0,0.0,clear sky,2021-10-30 22:52:50
368,Port Macquarie,AU,-31.4333,152.9167,64.36,71,99,7.16,overcast clouds,2021-10-30 22:52:14
369,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,9.22,scattered clouds,2021-10-30 22:52:51
370,Kondoa,TZ,-4.9,35.7833,64.78,87,88,6.71,light rain,2021-10-30 22:52:51
