City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Japura,ID,2021-10-30 01:53:43,-0.3167,102.35,83.95,72,100,2.37
91,Georgetown,MY,2021-10-30 01:53:43,5.4112,100.3354,87.89,78,20,1.01
92,Dire,ML,2021-10-30 01:53:44,12.2833,-10.9667,75.69,70,100,3.24
93,Buckeye,US,2021-10-30 01:53:45,33.3703,-112.5838,84.45,20,0,3.44
94,Huaral,PE,2021-10-30 01:53:45,-11.495,-77.2078,60.73,79,88,4.0
95,East London,ZA,2021-10-30 01:53:11,-33.0153,27.9116,63.59,67,4,14.7
96,Dikson,RU,2021-10-30 01:53:46,73.5069,80.5464,6.49,89,100,16.04
97,Poyarkovo,RU,2021-10-30 01:53:47,49.6,128.6833,36.34,43,100,13.94
98,Airai,TL,2021-10-30 01:53:47,-8.9266,125.4092,78.28,42,97,1.68
99,Vaini,TO,2021-10-30 01:49:32,-21.2,-175.2,71.76,94,75,10.36
100,Severo-Kurilsk,RU,2021-10-30 01:49:37,50.6789,156.125,42.13,81,80,17.4
101,Broken Hill,AU,2021-10-30 01:53:48,-31.95,141.4333,60.51,36,0,12.66
102,Port Blair,IN,2021-10-30 01:51:08,11.6667,92.75,78.84,89,75,0.0
103,San Patricio,US,2021-10-30 01:51:06,28.017,-97.5169,71.46,28,0,7.23
104,Hilo,US,2021-10-30 01:53:50,19.7297,-155.09,86.29,84,59,1.01
105,Qaanaaq,GL,2021-10-30 01:53:50,77.484,-69.3632,13.03,65,99,8.77
106,Faya,SA,2021-10-30 01:50:07,18.3851,42.4509,54.12,35,5,5.82
107,Ossora,RU,2021-10-30 01:53:51,59.2353,163.0719,28.85,82,65,7.25
108,Lufilufi,WS,2021-10-30 01:53:51,-13.8745,-171.5986,83.98,73,95,16.42
109,Berdsk,RU,2021-10-30 01:53:52,54.7551,83.0967,33.4,97,100,20.09
110,Muroto,JP,2021-10-30 01:53:52,33.2833,134.15,68.04,56,47,5.46
111,Guerrero Negro,MX,2021-10-30 01:53:53,27.9769,-114.0611,68.65,72,0,9.62
112,Beloha,MG,2021-10-30 01:53:53,-25.1667,45.05,62.6,72,58,13.27
113,Tiksi,RU,2021-10-30 01:53:54,71.6872,128.8694,0.27,95,100,7.74
114,Sinnamary,GF,2021-10-30 01:53:55,5.3833,-52.95,79.2,83,9,9.4
115,Kodiak,US,2021-10-30 01:53:56,57.79,-152.4072,44.28,96,100,27.02
116,Kaitangata,NZ,2021-10-30 01:53:56,-46.2817,169.8464,67.35,58,26,14.65
117,Itarema,BR,2021-10-30 01:53:57,-2.9248,-39.9167,78.44,80,35,6.78
